	domain	phylum	class	order	family	genus	species
ASV_759	NA	NA	NA	NA	NA	NA	NA
ASV_760	NA	NA	NA	NA	NA	NA	NA
ASV_761	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_762	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA
ASV_763	NA	NA	NA	NA	NA	NA	NA
ASV_764	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	ANME-2a-2b	ANME-2b	NA
ASV_765	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_766	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_767	NA	NA	NA	NA	NA	NA	NA
ASV_768	NA	NA	NA	NA	NA	NA	NA
ASV_769	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
ASV_770	Bacteria	NA	NA	NA	NA	NA	NA
ASV_771	NA	NA	NA	NA	NA	NA	NA
ASV_772	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV_773	NA	NA	NA	NA	NA	NA	NA
ASV_774	Bacteria	NA	NA	NA	NA	NA	NA
ASV_775	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_776	NA	NA	NA	NA	NA	NA	NA
ASV_777	Archaea	Halobacterota	ANME-1	ANME-1a	NA	NA	NA
ASV_778	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Desulfitispora	NA
ASV_779	Bacteria	NA	NA	NA	NA	NA	NA
ASV_780	Bacteria	NA	NA	NA	NA	NA	NA
ASV_781	NA	NA	NA	NA	NA	NA	NA
ASV_782	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_783	NA	NA	NA	NA	NA	NA	NA
ASV_784	NA	NA	NA	NA	NA	NA	NA
ASV_785	NA	NA	NA	NA	NA	NA	NA
ASV_786	NA	NA	NA	NA	NA	NA	NA
ASV_787	Bacteria	Bacteroidota	NA	NA	NA	NA	NA
ASV_788	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
ASV_789	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_790	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_791	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV_792	NA	NA	NA	NA	NA	NA	NA
ASV_793	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_794	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_795	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA	NA
ASV_796	Bacteria	NA	NA	NA	NA	NA	NA
ASV_797	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA	NA
ASV_798	Bacteria	NA	NA	NA	NA	NA	NA
ASV_799	NA	NA	NA	NA	NA	NA	NA
ASV_800	NA	NA	NA	NA	NA	NA	NA
ASV_801	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	NA	NA	NA
ASV_802	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
ASV_803	Bacteria	NA	NA	NA	NA	NA	NA
ASV_804	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_805	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
ASV_806	Bacteria	NA	NA	NA	NA	NA	NA
ASV_807	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_808	NA	NA	NA	NA	NA	NA	NA
ASV_809	Bacteria	NA	NA	NA	NA	NA	NA
ASV_810	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	NA
ASV_811	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	ANME-2a-2b	ANME-2b	NA
ASV_812	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Marinospirillum	NA
ASV_813	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_814	Bacteria	Firmicutes	Clostridia	NA	Hungateiclostridiaceae	NA	NA
ASV_815	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_816	NA	NA	NA	NA	NA	NA	NA
ASV_817	Eukaryota	Bicosoecida	NA	NA	NA	Bicosoeca	NA
ASV_818	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales Incertae Sedis	Constrictibacter	NA
ASV_819	Bacteria	NA	NA	NA	NA	NA	NA
ASV_820	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_821	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_822	NA	NA	NA	NA	NA	NA	NA
ASV_823	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	KCLunmb-38-53	NA	NA
ASV_824	NA	NA	NA	NA	NA	NA	NA
ASV_825	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_826	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_827	NA	NA	NA	NA	NA	NA	NA
ASV_828	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_829	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_830	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_831	Bacteria	Firmicutes	Clostridia	NA	Hungateiclostridiaceae	NA	NA
ASV_832	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_833	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	NA
ASV_834	Bacteria	NA	NA	NA	NA	NA	NA
ASV_835	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_836	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	NA
ASV_837	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01	NA
ASV_838	NA	NA	NA	NA	NA	NA	NA
ASV_839	NA	NA	NA	NA	NA	NA	NA
ASV_840	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_841	NA	NA	NA	NA	NA	NA	NA
ASV_842	NA	NA	NA	NA	NA	NA	NA
ASV_843	Bacteria	NA	NA	NA	NA	NA	NA
ASV_844	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	NA	NA
ASV_845	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_846	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_847	NA	NA	NA	NA	NA	NA	NA
ASV_848	Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	NA	NA
ASV_849	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_850	NA	NA	NA	NA	NA	NA	NA
ASV_851	NA	NA	NA	NA	NA	NA	NA
ASV_852	NA	NA	NA	NA	NA	NA	NA
ASV_853	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_854	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_855	NA	NA	NA	NA	NA	NA	NA
ASV_856	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_857	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_858	NA	NA	NA	NA	NA	NA	NA
ASV_859	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_860	NA	NA	NA	NA	NA	NA	NA
ASV_861	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group	NA
ASV_862	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA
ASV_863	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_864	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_865	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_866	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_867	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_868	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_869	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Candidatus Contubernalis	NA
ASV_870	Bacteria	NA	NA	NA	NA	NA	NA
ASV_871	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV_872	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA
ASV_873	Bacteria	NA	NA	NA	NA	NA	NA
ASV_874	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV_875	Bacteria	NA	NA	NA	NA	NA	NA
ASV_876	Bacteria	NA	NA	NA	NA	NA	NA
ASV_877	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_878	NA	NA	NA	NA	NA	NA	NA
ASV_879	Bacteria	NA	NA	NA	NA	NA	NA
ASV_880	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	Desulfurivibrio	NA
ASV_881	NA	NA	NA	NA	NA	NA	NA
ASV_882	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_883	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_884	NA	NA	NA	NA	NA	NA	NA
ASV_885	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_886	NA	NA	NA	NA	NA	NA	NA
ASV_887	Bacteria	NA	NA	NA	NA	NA	NA
ASV_888	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobaculum	NA
ASV_889	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_890	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_891	NA	NA	NA	NA	NA	NA	NA
ASV_892	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_893	NA	NA	NA	NA	NA	NA	NA
ASV_894	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Spiribacter	NA
ASV_895	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_896	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_897	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Spiribacter	NA
ASV_898	Bacteria	NA	NA	NA	NA	NA	NA
ASV_899	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_900	NA	NA	NA	NA	NA	NA	NA
ASV_901	NA	NA	NA	NA	NA	NA	NA
ASV_902	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Candidatus Contubernalis	NA
ASV_903	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_904	NA	NA	NA	NA	NA	NA	NA
ASV_905	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_906	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax	NA
ASV_907	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA
ASV_908	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA
ASV_909	Bacteria	NA	NA	NA	NA	NA	NA
ASV_910	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV_911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_912	Bacteria	NA	NA	NA	NA	NA	NA
ASV_913	NA	NA	NA	NA	NA	NA	NA
ASV_914	NA	NA	NA	NA	NA	NA	NA
ASV_915	Bacteria	NA	NA	NA	NA	NA	NA
ASV_916	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_917	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_918	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
ASV_919	Bacteria	NA	NA	NA	NA	NA	NA
ASV_920	NA	NA	NA	NA	NA	NA	NA
ASV_921	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_922	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV_923	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadales Incertae Sedis	Alkalimonas	NA
ASV_924	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_925	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_926	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_927	Bacteria	Bacteroidota	Bacteroidia	ML602M-17	NA	NA	NA
ASV_928	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_929	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_930	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV_931	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_932	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Reinekea	NA
ASV_933	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_934	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_935	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_936	Bacteria	NA	NA	NA	NA	NA	NA
ASV_937	NA	NA	NA	NA	NA	NA	NA
ASV_938	NA	NA	NA	NA	NA	NA	NA
ASV_939	Bacteria	NA	NA	NA	NA	NA	NA
ASV_940	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronovibrionaceae	Desulfonatronovibrio	NA
ASV_941	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_942	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_943	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_944	NA	NA	NA	NA	NA	NA	NA
ASV_945	Bacteria	NA	NA	NA	NA	NA	NA
ASV_946	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_947	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_948	Bacteria	NA	NA	NA	NA	NA	NA
ASV_949	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_950	Bacteria	NA	NA	NA	NA	NA	NA
ASV_951	NA	NA	NA	NA	NA	NA	NA
ASV_952	Bacteria	NA	NA	NA	NA	NA	NA
ASV_953	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_954	NA	NA	NA	NA	NA	NA	NA
ASV_955	NA	NA	NA	NA	NA	NA	NA
ASV_956	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_957	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	NA	NA
ASV_958	NA	NA	NA	NA	NA	NA	NA
ASV_959	NA	NA	NA	NA	NA	NA	NA
ASV_960	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Geitlerinema PCC-8501	NA
ASV_961	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 23	NA
ASV_962	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_963	NA	NA	NA	NA	NA	NA	NA
ASV_964	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	ANME-2c	NA	NA
ASV_965	NA	NA	NA	NA	NA	NA	NA
ASV_966	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_967	NA	NA	NA	NA	NA	NA	NA
ASV_968	Bacteria	NA	NA	NA	NA	NA	NA
ASV_969	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV_970	Bacteria	NA	NA	NA	NA	NA	NA
ASV_971	NA	NA	NA	NA	NA	NA	NA
ASV_972	NA	NA	NA	NA	NA	NA	NA
ASV_973	NA	NA	NA	NA	NA	NA	NA
ASV_974	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_975	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	NA	NA
ASV_976	NA	NA	NA	NA	NA	NA	NA
ASV_977	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_978	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_979	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV_980	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
ASV_981	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA	NA
ASV_982	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_983	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_984	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_985	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_986	Bacteria	NA	NA	NA	NA	NA	NA
ASV_987	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Spiribacter	NA
ASV_988	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	NA	NA	NA
ASV_989	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_990	Bacteria	NA	NA	NA	NA	NA	NA
ASV_991	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	ML310M-34	NA
ASV_992	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_993	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA
ASV_994	NA	NA	NA	NA	NA	NA	NA
ASV_995	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_996	NA	NA	NA	NA	NA	NA	NA
ASV_997	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	NA
ASV_998	Bacteria	NA	NA	NA	NA	NA	NA
ASV_999	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	NA	NA
ASV_1000	NA	NA	NA	NA	NA	NA	NA
ASV_1001	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1002	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_1003	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1004	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_1005	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA	NA
ASV_1006	NA	NA	NA	NA	NA	NA	NA
ASV_1007	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_1008	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1009	NA	NA	NA	NA	NA	NA	NA
ASV_1010	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	NA	NA
ASV_1011	NA	NA	NA	NA	NA	NA	NA
ASV_1012	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_1013	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_1014	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_1015	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1016	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1017	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_1018	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA
ASV_1019	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1020	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_1021	NA	NA	NA	NA	NA	NA	NA
ASV_1022	NA	NA	NA	NA	NA	NA	NA
ASV_1023	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1024	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_1025	NA	NA	NA	NA	NA	NA	NA
ASV_1026	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_1027	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_1028	Bacteria	Chrysiogenetota	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispira	NA
ASV_1029	NA	NA	NA	NA	NA	NA	NA
ASV_1030	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_1031	NA	NA	NA	NA	NA	NA	NA
ASV_1032	NA	NA	NA	NA	NA	NA	NA
ASV_1033	NA	NA	NA	NA	NA	NA	NA
ASV_1034	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_1035	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_1036	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA
ASV_1037	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_1038	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_1039	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_1040	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_1041	NA	NA	NA	NA	NA	NA	NA
ASV_1042	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1043	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	NA
ASV_1044	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_1045	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	NA
ASV_1046	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_1047	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	NA
ASV_1048	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	NA
ASV_1049	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_1050	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_1051	NA	NA	NA	NA	NA	NA	NA
ASV_1052	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	NA
ASV_1053	NA	NA	NA	NA	NA	NA	NA
ASV_1054	NA	NA	NA	NA	NA	NA	NA
ASV_1055	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_1056	NA	NA	NA	NA	NA	NA	NA
ASV_1057	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Fodinicurvataceae	Rhodovibrio	NA
ASV_1058	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_1059	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcales Incertae Sedis	Methylonatrum	NA
ASV_1060	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_1061	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	NA
ASV_1062	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcales Incertae Sedis	Methylonatrum	NA
ASV_1063	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV_1064	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV_1065	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_1066	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1067	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_1068	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	NA
ASV_1069	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_1070	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
ASV_1071	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1072	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_1073	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	NA	NA
ASV_1074	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_1075	Bacteria	NA	NA	NA	NA	NA	NA
